i,j,score,accepted,guard_dropped
324,1882,0.9987516343887362,True,False
324,2906,0.9979749008420777,True,False
324,2964,0.9956300099634801,True,False
326,5238,0.9978563561645535,True,False
327,7415,0.9970051010599466,True,False
328,4542,0.9939029047180966,True,False
329,3381,0.9966903738660419,True,False
330,3246,0.9987516343887362,True,False
332,1887,0.9939029047180966,True,False
334,6263,0.9966903738660419,True,False
335,4041,0.9942318844771555,True,False
335,5036,0.9978209634883989,True,False
337,1433,0.9975340164615294,True,False
337,2319,0.9934753990350542,True,False
340,5630,0.9983505803534152,True,False
341,3238,0.9976962095979076,True,False
344,4019,0.9951999406776808,True,False
344,4695,0.9934753990350542,True,False
344,5272,0.9975340164615294,True,False
345,2191,0.9966903738660419,True,False
346,2754,0.9939029047180966,True,False
348,917,0.9987516343887362,True,False
349,5052,0.9987516343887362,True,False
350,1742,0.9987516343887362,True,False
350,6691,0.9987516343887362,True,False
351,852,0.9966903738660419,True,False
353,6222,0.9966903738660419,True,False
355,1465,0.9987516343887362,True,False
355,3675,0.9939029047180966,True,False
355,6303,0.9976962095979076,True,False
356,2744,0.9966903738660419,True,False
358,6541,0.9976962095979076,True,False
360,5084,0.9953097333751223,True,False
361,5099,0.9987516343887362,True,False
363,3462,0.9953097333751223,True,False
364,3002,0.9983505803534152,True,False
366,7331,0.9987516343887362,True,False
367,2480,0.9873485260609695,True,False
367,3081,0.9873485260609695,True,False
367,4062,0.9873485260609695,True,False
369,2323,0.9956300099634801,True,False
369,3297,0.9987516343887362,True,False
373,6810,0.9979749008420777,True,False
374,6197,0.9975340164615294,True,False
375,7496,0.9983884245508575,True,False
376,4652,0.9869952477161212,True,False
377,4624,0.9951999406776808,True,False
377,6528,0.9951999406776808,True,False
378,4541,0.9983505803534152,True,False
379,3644,0.9987516343887362,True,False
380,7157,0.9934753990350542,True,False
381,1567,0.9951999406776808,True,False
381,4674,0.9987516343887362,True,False
381,5967,0.9987516343887362,True,False
382,478,0.9983505803534152,True,False
382,6570,0.9983505803534152,True,False
383,6772,0.9966903738660419,True,False
384,3340,0.9987516343887362,True,False
385,7104,0.9987516343887362,True,False
385,7318,0.9987516343887362,True,False
386,4268,0.9987516343887362,True,False
387,4428,0.9966903738660419,True,False
388,1409,0.9953097333751223,True,False
388,5983,0.9762369269854069,True,False
389,3058,0.9987516343887362,True,False
389,4281,0.9983505803534152,True,False
389,4504,0.9987516343887362,True,False
392,3266,0.9983505803534152,True,False
393,1912,0.9983039944199337,True,False
394,2914,0.9987516343887362,True,False
396,3927,0.9987516343887362,True,False
396,6408,0.9979749008420777,True,False
397,1624,0.995506930508393,True,False
397,2378,0.995506930508393,True,False
399,903,0.9934753990350542,True,False
400,2425,0.9987516343887362,True,False
400,6025,0.9983505803534152,True,False
400,7429,0.9983505803534152,True,False
401,4358,0.7945191195281159,True,False
402,6989,0.9987516343887362,True,False
403,2356,0.9978209634883989,True,False
405,3235,0.9987516343887362,True,False
407,447,0.9975340164615294,True,False
407,5695,0.9934753990350542,True,False
409,3542,0.9978563561645535,True,False
410,5775,0.9966903738660419,True,False
411,5838,0.9957300078086366,True,False
413,5319,0.9987516343887362,True,False
413,5548,0.8042542670399768,True,False
416,3084,0.9951999406776808,True,False
416,6995,0.9951999406776808,True,False
417,4421,0.9966903738660419,True,False
418,3069,0.995506930508393,True,False
419,3251,0.9987516343887362,True,False
421,2285,0.9978563561645535,True,False
422,587,0.9987516343887362,True,False
423,483,0.9954772360045787,True,False
424,3824,0.9931519312245213,True,False
424,7014,0.9974112369640995,True,False
425,4279,0.9982452686441156,True,False
426,3686,0.9951345565222027,True,False
426,6649,0.9987516343887362,True,False
427,6315,0.9987516343887362,True,False
431,4426,0.9987516343887362,True,False
432,2865,0.8277648324232953,True,False
432,3945,0.9953097333751223,True,False
433,2049,0.9966903738660419,True,False
433,5925,0.9987516343887362,True,False
433,6137,0.7575334417930455,True,False
434,6430,0.9966903738660419,True,False
435,3498,0.9939029047180966,True,False
437,5237,0.9956300099634801,True,False
438,6616,0.9987516343887362,True,False
439,1282,0.9976962095979076,True,False
439,5074,0.9987516343887362,True,False
440,1752,0.9987516343887362,True,False
440,3491,0.9983505803534152,True,False
441,4459,0.9987516343887362,True,False
442,1566,0.9976962095979076,True,False
443,4219,0.9953097333751223,True,False
443,4701,0.9987516343887362,True,False
444,3405,0.9939029047180966,True,False
447,5695,0.9966903738660419,True,False
448,3566,0.9966903738660419,True,False
449,2741,0.9987516343887362,True,False
450,3048,0.9966903738660419,True,False
451,5770,0.9966903738660419,True,False
452,2928,0.9987516343887362,True,False
452,3570,0.9966903738660419,True,False
453,2160,0.9876356745221663,True,False
453,6196,0.9876356745221663,True,False
454,5945,0.9987516343887362,True,False
454,7238,0.9966903738660419,True,False
455,4799,0.9958128395225163,True,False
456,6000,0.9966903738660419,True,False
457,4500,0.9926084766360521,True,False
458,5072,0.9983505803534152,True,False
460,2868,0.9987516343887362,True,False
461,4400,0.9987516343887362,True,False
462,1801,0.9943252407018788,True,False
464,4436,0.9976962095979076,True,False
464,5300,0.9987516343887362,True,False
466,4844,0.9926084766360521,True,False
467,1553,0.8220562674733303,True,False
467,7422,0.9987516343887362,True,False
468,5409,0.9983039944199337,True,False
469,6436,0.9966903738660419,True,False
471,4742,0.9987516343887362,True,False
472,6516,0.9983039944199337,True,False
473,7129,0.9939029047180966,True,False
474,4845,0.9987516343887362,True,False
475,3331,0.9939029047180966,True,False
475,5683,0.9987516343887362,True,False
475,6086,0.9976962095979076,True,False
476,4820,0.9983505803534152,True,False
477,613,0.9987516343887362,True,False
478,6570,0.9987516343887362,True,False
480,5233,0.9987516343887362,True,False
482,1308,0.9987516343887362,True,False
482,5912,0.9951999406776808,True,False
484,1508,0.9966903738660419,True,False
485,754,0.9983505803534152,True,False
486,1127,0.9974686442784303,True,False
486,2553,0.9987516343887362,True,False
486,4673,0.8288667144097164,True,False
487,4599,0.9987516343887362,True,False
488,703,0.9966903738660419,True,False
490,2262,0.9966903738660419,True,False
490,3362,0.9976962095979076,True,False
492,645,0.9873485260609695,True,False
492,5005,0.9787233092785311,True,False
493,4439,0.9987516343887362,True,False
493,5646,0.9955425575166709,True,False
493,6805,0.9966903738660419,True,False
495,1535,0.8049375720168671,True,False
496,4941,0.9987516343887362,True,False
497,6319,0.9987516343887362,True,False
499,2389,0.9966903738660419,True,False
500,2757,0.9987516343887362,True,False
500,3724,0.9987516343887362,True,False
500,3928,0.9983505803534152,True,False
501,7073,0.8256011655645904,True,False
502,579,0.7989639939237313,True,False
502,3309,0.7879882939720633,True,False
502,5660,0.7879882939720633,True,False
505,3460,0.9987516343887362,True,False
507,625,0.9983505803534152,True,False
507,3627,0.9983505803534152,True,False
509,5845,0.9957300078086366,True,False
509,6301,0.9987516343887362,True,False
510,1868,0.9958128395225163,True,False
510,4600,0.9958128395225163,True,False
511,670,0.9982452686441156,True,False
514,972,0.9873485260609695,True,False
514,2641,0.9951999406776808,True,False
515,6318,0.9987516343887362,True,False
516,1289,0.9966903738660419,True,False
516,4280,0.9966903738660419,True,False
516,6477,0.9966903738660419,True,False
517,4165,0.9966903738660419,True,False
518,2963,0.9956300099634801,True,False
519,5186,0.9953097333751223,True,False
520,5216,0.8285468785417222,True,False
520,5811,0.9980660562935224,True,False
520,6683,0.9980660562935224,True,False
521,859,0.765805772029778,True,False
521,2399,0.9983884245508575,True,False
521,4505,0.9972048444955496,True,False
522,6183,0.9957300078086366,True,False
523,5346,0.9976962095979076,True,False
524,3133,0.9978209634883989,True,False
525,3957,0.9987516343887362,True,False
526,4743,0.9976962095979076,True,False
526,7204,0.9987516343887362,True,False
527,4121,0.772360579336956,True,False
528,4685,0.9974112369640995,True,False
528,5101,0.9974112369640995,True,False
528,6115,0.9974112369640995,True,False
529,4791,0.9966903738660419,True,False
530,6166,0.9983039944199337,True,False
531,649,0.9970570100901925,True,False
532,3716,0.9987516343887362,True,False
532,6353,0.9876356745221663,True,False
533,1477,0.9987516343887362,True,False
534,4331,0.9987516343887362,True,False
536,4514,0.9987516343887362,True,False
536,5053,0.9987516343887362,True,False
537,6014,0.9953518047315162,True,False
538,5304,0.813984488771746,True,False
539,3206,0.9954772360045787,True,False
540,6688,0.9953097333751223,True,False
543,2774,0.8424928871536954,True,False
545,5505,0.9928989241848947,True,False
546,3336,0.9953518047315162,True,False
546,6298,0.9982452686441156,True,False
548,5227,0.9987516343887362,True,False
549,944,0.8288667144097164,True,False
550,7188,0.9943252407018788,True,False
551,2753,0.9966903738660419,True,False
553,2154,0.9987516343887362,True,False
556,1324,0.9987516343887362,True,False
557,1528,0.9943252407018788,True,False
558,1699,0.9966903738660419,True,False
558,3698,0.9966903738660419,True,False
560,4468,0.9966903738660419,True,False
560,5520,0.9931519312245213,True,False
560,6915,0.9966903738660419,True,False
562,5958,0.9987516343887362,True,False
562,7287,0.9966903738660419,True,False
563,2269,0.9976962095979076,True,False
565,2404,0.9987516343887362,True,False
565,5856,0.9987516343887362,True,False
567,1894,0.9959420546467269,True,False
567,4319,0.9987516343887362,True,False
568,3772,0.9987516343887362,True,False
569,1973,0.9987516343887362,True,False
570,2291,0.8037534054523211,True,False
570,3189,0.8037534054523211,True,False
571,4803,0.9984197686403924,True,False
571,5608,0.9966903738660419,True,False
572,5279,0.9987516343887362,True,False
573,5792,0.8251430496068115,True,False
574,1175,0.9979749008420777,True,False
574,6610,0.9946380086980074,True,False
575,7210,0.9987516343887362,True,False
577,3221,0.9987516343887362,True,False
578,6171,0.8609793155371334,True,False
578,6378,0.9987516343887362,True,False
580,4603,0.9976962095979076,True,False
582,4345,0.9958825633451195,True,False
584,2768,0.780443452109907,True,False
584,3090,0.9934753990350542,True,False
585,4434,0.9966903738660419,True,False
586,2773,0.9987516343887362,True,False
586,3962,0.9939029047180966,True,False
589,6937,0.9956300099634801,True,False
590,5229,0.8256011655645904,True,False
591,4097,0.9939029047180966,True,False
591,7324,0.9987516343887362,True,False
593,2873,0.9966903738660419,True,False
596,2267,0.9957300078086366,True,False
596,6360,0.9983884245508575,True,False
597,1777,0.9983505803534152,True,False
597,2192,0.9833451615993634,True,False
597,6201,0.9983505803534152,True,False
599,6766,0.9953518047315162,True,False
600,2249,0.9987516343887362,True,False
600,6922,0.9987516343887362,True,False
602,2449,0.9943252407018788,True,False
602,4138,0.9943252407018788,True,False
606,7051,0.9966903738660419,True,False
607,1993,0.9987516343887362,True,False
609,5212,0.9987516343887362,True,False
610,638,0.9966903738660419,True,False
610,4661,0.9966903738660419,True,False
616,6472,0.9983039944199337,True,False
618,2856,0.9987516343887362,True,False
618,6177,0.9966903738660419,True,False
619,1875,0.9987516343887362,True,False
619,2588,0.9987516343887362,True,False
619,5322,0.9946380086980074,True,False
620,4765,0.9966903738660419,True,False
620,4865,0.9966903738660419,True,False
621,1670,0.9984197686403924,True,False
621,4898,0.9978209634883989,True,False
622,2684,0.9979749008420777,True,False
622,5938,0.9946380086980074,True,False
625,3627,0.9987516343887362,True,False
628,6739,0.9976962095979076,True,False
629,4529,0.9934753990350542,True,False
630,5481,0.9978563561645535,True,False
630,6078,0.9987516343887362,True,False
634,3428,0.9979749008420777,True,False
635,2223,0.9976962095979076,True,False
635,2311,0.9983884245508575,True,False
636,5118,0.9987516343887362,True,False
638,4661,0.9987516343887362,True,False
639,7090,0.9975340164615294,True,False
640,4106,0.9934753990350542,True,False
640,4607,0.9983505803534152,True,False
643,6283,0.9966903738660419,True,False
645,5005,0.9979749008420777,True,False
645,7252,0.7518957691791132,True,False
647,2796,0.8318839232237752,True,False
647,3618,0.7891897412467536,True,False
647,5062,0.8318839232237752,True,False
648,2872,0.9942318844771555,True,False
650,5056,0.7856037706673499,True,False
650,5966,0.7856037706673499,True,False
652,1949,0.9984197686403924,True,False
652,5197,0.9984197686403924,True,False
653,6591,0.7504356081435468,True,False
655,1305,0.9987516343887362,True,False
656,3507,0.9966903738660419,True,False
656,5424,0.9983505803534152,True,False
656,7031,0.9979749008420777,True,False
657,5452,0.9966903738660419,True,False
658,5141,0.9984461500974169,True,False
659,1047,0.9987516343887362,True,False
659,5461,0.9987516343887362,True,False
659,7089,0.9975340164615294,True,False
660,3334,0.9920828818225981,True,False
661,1142,0.9966903738660419,True,False
662,1992,0.9966903738660419,True,False
663,6823,0.9966903738660419,True,False
664,7396,0.9987516343887362,True,False
665,691,0.9987516343887362,True,False
665,3421,0.9987516343887362,True,False
669,4639,0.9987516343887362,True,False
669,7084,0.9939029047180966,True,False
671,1296,0.8251430496068115,True,False
671,6901,0.9987516343887362,True,False
675,759,0.9987516343887362,True,False
675,4874,0.9987516343887362,True,False
676,716,0.9966903738660419,True,False
677,1781,0.9953518047315162,True,False
679,927,0.9966903738660419,True,False
679,3157,0.9987516343887362,True,False
681,2612,0.9939029047180966,True,False
682,2779,0.9987516343887362,True,False
683,2007,0.9976962095979076,True,False
684,1772,0.9987516343887362,True,False
685,1900,0.9987516343887362,True,False
686,4723,0.9987516343887362,True,False
688,5399,0.9987516343887362,True,False
691,3421,0.9987516343887362,True,False
692,5599,0.9987516343887362,True,False
693,2325,0.9956300099634801,True,False
694,1695,0.9987516343887362,True,False
695,5992,0.9966903738660419,True,False
696,5539,0.9973151677640237,True,False
698,3408,0.9987516343887362,True,False
698,6752,0.9970051010599466,True,False
699,4103,0.9987516343887362,True,False
699,4840,0.9926084766360521,True,False
699,5976,0.9876356745221663,True,False
700,5699,0.9974112369640995,True,False
702,2894,0.9976962095979076,True,False
702,5028,0.9976962095979076,True,False
704,6806,0.9966903738660419,True,False
705,1413,0.996535470187147,True,False
705,2015,0.9987516343887362,True,False
705,3125,0.9984461500974169,True,False
706,6741,0.9975340164615294,True,False
707,3898,0.9987516343887362,True,False
708,1240,0.9974112369640995,True,False
709,1748,0.9934753990350542,True,False
710,6750,0.9946380086980074,True,False
712,3858,0.9979197595370883,True,False
714,7002,0.9987516343887362,True,False
717,6705,0.9983884245508575,True,False
718,6291,0.9987516343887362,True,False
720,4012,0.9956300099634801,True,False
720,6767,0.9956300099634801,True,False
721,3278,0.9939029047180966,True,False
722,1745,0.9953097333751223,True,False
722,2198,0.9953097333751223,True,False
723,4408,0.9987516343887362,True,False
723,4988,0.9987516343887362,True,False
724,3071,0.9873485260609695,True,False
725,2355,0.9987516343887362,True,False
726,5787,0.9987516343887362,True,False
728,6710,0.9987516343887362,True,False
729,1117,0.9976962095979076,True,False
730,783,0.9978563561645535,True,False
730,1814,0.9983039944199337,True,False
730,6136,0.9987516343887362,True,False
732,3000,0.9966903738660419,True,False
734,1074,0.9966903738660419,True,False
735,4443,0.9966903738660419,True,False
737,1269,0.9966903738660419,True,False
737,6565,0.9957300078086366,True,False
737,7395,0.9966903738660419,True,False
738,4020,0.9987516343887362,True,False
743,5288,0.9975340164615294,True,False
744,4031,0.9939029047180966,True,False
748,2534,0.9984197686403924,True,False
748,5283,0.9984197686403924,True,False
748,6269,0.9941831843025435,True,False
749,7137,0.9966903738660419,True,False
750,3471,0.9966903738660419,True,False
750,4144,0.9966903738660419,True,False
750,4927,0.9987516343887362,True,False
751,5839,0.9983505803534152,True,False
752,1038,0.7914042385561849,True,False
753,4651,0.9939029047180966,True,False
757,3286,0.9987516343887362,True,False
757,4442,0.9966903738660419,True,False
757,6579,0.9983039944199337,True,False
759,4874,0.9987516343887362,True,False
760,7420,0.995150381172694,True,False
761,3711,0.9939029047180966,True,False
761,7450,0.9939029047180966,True,False
762,3841,0.9987516343887362,True,False
763,3089,0.9987516343887362,True,False
763,5380,0.8288667144097164,True,False
764,6780,0.8658398612528319,True,False
765,863,0.9984686580491425,True,False
766,1654,0.9987516343887362,True,False
768,5658,0.9987516343887362,True,False
769,4277,0.9987516343887362,True,False
770,1057,0.9950648084917336,True,False
770,3086,0.9910816926541293,True,False
771,4069,0.995506930508393,True,False
772,2902,0.9987516343887362,True,False
773,1571,0.9987516343887362,True,False
774,5745,0.9983884245508575,True,False
776,6567,0.9966903738660419,True,False
776,6971,0.9966903738660419,True,False
777,6998,0.9987516343887362,True,False
778,1892,0.9987516343887362,True,False
779,6674,0.9987516343887362,True,False
780,4414,0.9983884245508575,True,False
781,1079,0.9939029047180966,True,False
781,2076,0.9939029047180966,True,False
781,6624,0.9939029047180966,True,False
782,6375,0.9987516343887362,True,False
782,6778,0.9946380086980074,True,False
783,1814,0.9978563561645535,True,False
783,6136,0.9978563561645535,True,False
785,5724,0.9987516343887362,True,False
785,5726,0.9957300078086366,True,False
786,2512,0.9966903738660419,True,False
