loan_id,credit_score,debt_to_income_ratio,loan_to_value_ratio,missed_payments_12m,days_past_due,repayment_status,default_flag,risk_band,expected_loss_amount
LOAN000040,644.0,0.562,0.501,3,63,Late,0,Medium,51093.33
LOAN000041,636.0,0.86,0.814,4,180,Defaulted,1,High,307931.94
LOAN000042,726.0,0.45,0.604,0,0,Current,0,Low,24292.75
LOAN000043,626.0,0.591,0.644,5,138,Written Off,1,High,326394.45
LOAN000044,665.0,0.77,,2,30,Paid Off,0,Medium,9800.82
LOAN000045,745.0,0.435,0.624,0,0,Current,0,Low,32607.59
LOAN000046,641.0,0.587,,1,9,Current,0,Medium,101393.25
LOAN000047,646.0,0.873,0.821,4,52,Current,0,High,417431.47
LOAN000048,707.0,0.53,,0,0,Current,0,Low,8199.93
LOAN000049,776.0,0.532,0.647,1,12,Current,0,Low,53032.17
LOAN000050,663.0,0.209,0.554,0,0,Current,0,Low,15834.23
LOAN000051,684.0,0.673,0.884,5,176,Defaulted,1,High,90959.43
LOAN000052,671.0,0.451,0.527,1,13,Current,0,Low,6583.54
LOAN000053,625.0,1.159,0.949,0,0,CURRENT,0,Medium,964295.37
LOAN000054,680.0,0.833,,6,48,Current,0,High,34713.02
LOAN000055,677.0,0.321,0.923,1,15,Paid Off,0,Low,4012.48
LOAN000056,787.0,0.223,0.505,0,0,Paid Off,0,Low,6473.69
LOAN000057,,0.535,0.624,0,0,Current,0,Low,7870.64
LOAN000058,662.0,0.425,0.64,0,0,Current,0,Low,89053.76
LOAN000059,715.0,0.673,,0,0,Current,0,Low,158118.52
LOAN000060,630.0,0.986,,3,148,Defaulted,1,High,2612943.81
LOAN000061,693.0,0.659,0.556,0,0,Current,0,Low,55469.72
LOAN000062,646.0,0.498,,7,175,Late,0,High,22782.45
LOAN000063,597.0,0.732,,2,28,Current,0,Medium,26885.97
LOAN000064,664.0,0.681,0.531,0,0,Current,0,Medium,249162.62
LOAN000065,602.0,1.004,0.666,4,32,Current,0,High,515876.04
LOAN000066,633.0,0.766,0.603,1,10,Current,0,Medium,511422.25
LOAN000067,649.0,0.357,,4,60,Current,0,Medium,9162.67
LOAN000068,708.0,0.386,0.889,0,0,Current,0,Low,86606.56
LOAN000069,632.0,0.654,0.876,2,38,Current,0,Medium,312538.64
LOAN000070,681.0,0.453,0.916,0,0,Current,0,Low,38121.19
LOAN000071,766.0,0.304,0.891,0,0,Current,0,Low,4190.78
LOAN000072,668.0,0.678,0.785,0,0,Current,0,Medium,84810.38
LOAN000073,678.0,0.748,0.515,2,44,Paid Off,0,Medium,130501.24
LOAN000074,682.0,0.559,,0,0,Current,0,Low,7440.5
LOAN000075,664.0,0.476,0.809,2,36,Current,0,Medium,30928.08
LOAN000076,669.0,1.116,0.85,3,60,Current,0,High,806768.08
LOAN000077,781.0,0.784,,3,63,Current,0,Medium,213925.36
LOAN000078,646.0,0.497,0.678,5,70,Current,0,Medium,192050.0
LOAN000079,704.0,0.431,0.779,1,25,Current,0,Low,3961.22
LOAN000080,636.0,0.593,0.85,5,180,Defaulted,1,High,169718.73
LOAN000081,689.0,0.662,0.553,0,0,Current,0,Low,135457.69
LOAN000082,649.0,0.873,0.505,1,10,Current,0,Medium,344695.1
LOAN000083,669.0,1.052,0.634,7,180,Defaulted,1,High,380963.99
LOAN000084,708.0,0.324,,1,19,Current,0,Low,10806.79
LOAN000085,604.0,0.461,,5,110,Current,0,High,25042.92
LOAN000086,655.0,0.681,0.723,0,0,Current,0,Medium,78805.05
LOAN000087,634.0,0.981,0.777,3,39,Current,0,High,348530.27
LOAN000088,649.0,0.35,0.641,1,12,Current,0,Medium,20227.03
LOAN000089,645.0,0.485,0.834,7,70,Late,0,High,26895.91
LOAN000090,713.0,0.697,0.773,0,0,Current,0,Low,22085.3
LOAN000091,606.0,0.591,0.765,9,180,Defaulted,1,High,239066.78
LOAN000092,643.0,0.567,0.529,4,68,Late,0,Medium,185511.85
LOAN000093,652.0,0.557,0.782,0,0,Current,0,Medium,79417.66
LOAN000094,662.0,0.497,0.889,0,0,Current,0,Low,42307.39
LOAN000095,584.0,0.93,0.517,2,28,Current,0,High,750284.03
LOAN000096,631.0,0.857,0.6,1,18,Paid Off,0,Medium,393173.38
LOAN000097,694.0,0.583,0.812,0,0,Current,0,LOW,57343.91
LOAN000098,659.0,0.764,,3,75,Restructured,0,Medium,211450.43
LOAN000099,680.0,0.499,,0,0,Current,0,Low,19148.71
LOAN000100,731.0,0.624,,1,8,Current,0,Low,198111.17
LOAN000101,654.0,0.409,,0,0,Paid Off,0,Low,10182.09
LOAN000102,701.0,0.59,,0,0,Current,0,Low,11833.63
LOAN000103,654.0,0.829,0.624,7,70,Restructured,0,HIGH,216435.23
LOAN000104,639.0,0.584,0.744,3,72, late ,0,Medium,370585.86
LOAN000105,632.0,1.073,0.526,2,48,Paid Off,0,High,655776.65
LOAN000106,629.0,0.829,0.864,2,38,Current,0,Medium,355521.74
LOAN000107,713.0,0.329,0.614,4,141,Defaulted,1,Medium,26224.97
LOAN000108,644.0,0.534,0.777,7,180,Defaulted,1,High,21073.27
LOAN000109,639.0,0.707,0.843,3,30,Current,0,Medium,104908.22
LOAN000110,703.0,0.427,,1,21,Current,0,Low,2914.8
LOAN000111,748.0,0.468,0.562,1,20,Current,0,Low,3107.28
LOAN000112,694.0,0.211,,0,0,Paid Off,0,Low,4748.53
LOAN000113,688.0,0.51,,0,0,Current,0,Low,7273.98
LOAN000114,708.0,0.473,,0,0,Current,0,Low,3790.03
LOAN000115,,1.033,,4,142,Defaulted,1,High,1377504.62
LOAN000116,702.0,0.225,,8,180,Defaulted,1,High,2592.81
LOAN000117,713.0,0.644,0.897,0,0,Current,0,Low,87074.92
LOAN000118,616.0,0.631,,2,46,Current,0,Medium,31536.57
LOAN000119,711.0,0.431,0.674,0,0,Current,0,Low,24253.54
LOAN000120,696.0,0.594,0.62,0,0,Current,0,Low,85835.77
LOAN000121,672.0,0.605,,0,0, Current ,0,Low,42560.24
LOAN000122,668.0,0.508,0.586,7,167,Defaulted,1,High,77323.95
LOAN000123,701.0,0.693,0.507,0,0,Current,0,Low,52536.36
LOAN000124,669.0,0.175,,0,0,Current,0,Low,2459.8
LOAN000125,639.0,0.632,0.705,4,88,Restructured,0,Medium,287549.03
LOAN000126,665.0,0.733,0.829,1,10,Current,0,Medium,74117.38
LOAN000127,734.0,0.63,,0,0,Current,0,Low,525981.63
LOAN000128,628.0,0.627,0.64,7,168,Restructured,0,High,210602.46
LOAN000129,638.0,0.577,0.612,6,90,Current,0,High,146393.4
LOAN000130,615.0,0.894,0.699,4,146,Defaulted,1,High,733669.81
LOAN000131,765.0,0.673,0.716,0,0,Current,0,Low,44171.08
LOAN000132,669.0,0.907,0.54,4,68,Current,0,High,165020.63
LOAN000133,738.0,0.755,0.634,2,42,Current,0,Medium,101456.85
LOAN000134,741.0,0.343,0.791,0,0,Current,0,Low,8387.61
LOAN000135,,1.336,0.513,5,124,Defaulted,1,High,1241441.97
LOAN000136,669.0,0.708,0.651,0,0,Current,0,Medium,64348.65
LOAN000137,698.0,0.531,0.603,0,0,Current,0,Low,37681.07
LOAN000138,680.0,0.371,0.939,7,170,Defaulted,1,High,18316.95
LOAN000139,647.0,1.036,0.679,2,24,Current,0, MEDIUM ,117651.48
LOAN000140,610.0,0.705,0.676,4,32,Current,0,High,113163.63
LOAN000141,720.0,0.362,0.517,1,22,CURRENT,0,Low,38137.45
LOAN000142,674.0,0.36,,0,0,Paid Off,0,Low,15753.89
LOAN000143,616.0,0.881,0.614,3,66,Late,0,High,338675.93
LOAN000144,651.0,0.676,,2,18,Current,0,Medium,136538.3
LOAN000145,645.0,0.823,0.597,2,30,Current,0,Medium,244346.4
LOAN000146,610.0,0.691,,3,45,Current,0,Medium,525495.9
LOAN000147,689.0,0.368,0.688,1,21,Current,0,Low,1008.9
LOAN000148,704.0,0.769,0.612,8,180,Defaulted,1,High,202375.98
LOAN000149,709.0,0.582,0.552,1,17,Current,0,Low,73622.12
LOAN000150,741.0,0.506,,0,0,Paid Off,0,Low,7329.42
LOAN000151,726.0,0.624,0.639,0,0,Current,0,Low,90306.63
LOAN000152,564.0,0.521,0.584,7,98,Restructured,0,High,15311.34
LOAN000153,693.0,0.324,0.66,0,0,Paid Off,0,Low,4741.76
LOAN000154,658.0,0.376,,0,0,Current,0,Low,6075.78
LOAN000155,604.0,1.032,0.935,4,152,Written Off,1,High,474715.66
LOAN000156,650.0,0.767,0.708,4,40,Paid Off,0,Medium,283152.67
LOAN000157,673.0,0.459,0.87,0,0,Current,0,Low,25962.16
LOAN000158,636.0,1.099,0.802,9,180,Defaulted,1,High,1131588.97
LOAN000159,659.0,0.385,0.669,0,0,Current,0,Low,5000.68
LOAN000160,716.0,0.839,0.574,4,84,Late,0,Medium,171899.29
LOAN000161,717.0,0.435,0.691,0,0,Current,0,Low,3781.03
LOAN000162,662.0,0.577,0.753,0,0,Current,0,Medium,103564.27
LOAN000163,671.0,0.459,0.537,0,0,Current,0,Low,6885.01
LOAN000164,712.0,0.605,0.85,0,0,Current,0,Low,201755.36
LOAN000165,693.0,0.385,,0,0,Current,0,Low,4218.27
LOAN000166,649.0,0.812,0.801,0,0,Current,0,Medium,309952.22
LOAN000167,672.0,0.267,0.815,0,0,Current,0,Low,5181.5
LOAN000168,567.0,0.787,0.543,2,28,Current,0,Medium,152006.61
LOAN000169,679.0,0.674,0.832,0,0,Current,0,Medium,236696.26
LOAN000170,708.0,0.181,0.566,0,0,Paid Off,0,Low,4996.59
LOAN000171,674.0,0.421,0.798,0,0,Current,0,Low,10503.54
LOAN000172,659.0,0.862,,5,180,Defaulted,1,High,23346.47
LOAN000173,660.0,0.615,0.896,5,180,Written Off,1,High,62289.5
LOAN000174,675.0,0.567,0.553,4,163, Written Off ,1,Medium,10088.98
LOAN000175,654.0,0.698,0.609,0,0,Current,0,Medium,108565.57
LOAN000176,708.0,0.421,0.55,0,0,Current,0,Low,40861.6
LOAN000177,612.0,0.849,0.542,3,51,Current,0,High,300623.55
LOAN000178,658.0,0.777,0.52,1,12,Paid Off,0,Medium,56864.88
LOAN000179,684.0,0.506,,0,0,Paid Off,0,Low,5055.26
LOAN000180,614.0,0.811,0.748,3,66,Current,0,High,662612.27
LOAN000181,637.0,0.286,0.55,3,33,Current,0,Medium,37856.81
LOAN000182,739.0,0.317,0.555,0,0,Current,0,Low,6189.43
LOAN000183,689.0,0.199,,0,0,Current,0,Low,2688.14
LOAN000184,645.0,0.601,0.737,1,23,Current,0,Medium,123291.58
LOAN000185,668.0,0.425,0.744,1,22,Current,0,Medium,10113.87
LOAN000186,730.0,0.526,0.568,1,14,Paid Off,0,Low,2692.77
LOAN000187,734.0,0.746,0.596,2,44,Current,0,Medium,183574.59
LOAN000188,677.0,0.576,0.939,0,0,Current,0,Medium,14805.46
LOAN000189,684.0,0.249,,0,0,Current,0,Low,9049.17
LOAN000190,670.0,0.851,0.837,2,44,Current,0, MEDIUM ,201007.53
LOAN000191,652.0,0.699,,6,180,Written Off,1,High,10392.32
LOAN000192,691.0,0.546,0.739,1,14,Current,0,Medium,56024.14
LOAN000193,660.0,0.677,0.521,0,0,Current,0,Medium,106240.04
LOAN000194,771.0,0.153,,1,23,Current,0,Low,979.75
LOAN000195,687.0,0.267,0.856,0,0,Current,0,Low,3030.84
LOAN000196,717.0,0.366,0.553,0,0,Current,0,Low,9317.6
LOAN000197,709.0,0.687,0.547,0,0,Current,0,Low,143263.37
LOAN000198,652.0,0.905,0.714,1,8,Current,0,Medium,165435.92
LOAN000199,696.0,0.491,,0,0,Current,0,Low,4365.99
LOAN000200,668.0,0.452,0.53,0,0,Current,0,Low,15670.87
LOAN000201,653.0,0.473,0.645,1,20,Current,0,Medium,18835.77
LOAN000202,713.0,0.644,0.729,0,0,Current,0,Low,147266.65
LOAN000203,683.0,0.636,0.559,8,180,Defaulted,1,High,252849.72
LOAN000204,740.0,0.217,0.742,0,0,Current,0,Low,3123.32
LOAN000205,649.0,0.641,0.559,1,110,Defaulted,1,Medium,296080.17
LOAN000206,670.0,0.225,,0,0,Current,0,Low,2838.63
LOAN000207,664.0,0.375,0.501,0,0,Current,0,Low,5334.89
LOAN000208,680.0,0.23,,0,0,Current,0,Low,2386.46
LOAN000209,702.0,0.432,,0,0,Current,0,Low,6433.31
LOAN000210,660.0,0.678,0.609,0,0,Paid Off,0,Medium,154876.73
LOAN000211,665.0,0.793,0.662,4,88,current,0,Medium,69271.88
LOAN000212,653.0,0.679,,0,0, Current ,0,Medium,91834.91
LOAN000213,599.0,1.19,0.574,2,48,Current,0,High,857098.0
LOAN000214,688.0,0.459,0.708,0,0,Current,0,Low,91342.95
LOAN000215,627.0,0.962,0.638,4,176,Defaulted,1,High,254913.12
LOAN000216,673.0,0.117,,0,0,Current,0,Low,4217.92
LOAN000217,662.0,0.581,0.711,0,0,Current,0,Medium,41253.07
LOAN000218,727.0,0.517,0.83,0,0,Current,0,Low,34594.74
LOAN000219,747.0,0.433,,0,0,Current,0,Low,4830.51
LOAN000220,683.0,0.606,0.51,0,0,Current,0,Low,83553.62
LOAN000221,741.0,0.379,0.799,0,0,Current,0,Low,69524.97
LOAN000222,663.0,0.805,0.639,2,16,Current,0,Medium,143429.23
LOAN000223,655.0,0.955,0.7,3,72,Current,0,High,456076.04
LOAN000224,658.0,0.834,,4,52,Current,0,Medium,39626.74
LOAN000225,663.0,0.659,,0,0,Current,0,Medium,64182.39
LOAN000226,653.0,0.337,,0,0,Current,0,LOW,3710.25
LOAN000227,639.0,0.568,,2,22,Current,0,Medium,42299.81
LOAN000228,734.0,0.802,,2,16,Current,0,Medium,20261.58
LOAN000229,660.0,0.454,0.536,0,0,Current,0,Low,32696.56
LOAN000230,656.0,0.714,0.716,0,0,Paid Off,0,medium,37730.5
LOAN000231,728.0,0.169,0.511,0,0,Current,0,Low,644.9
LOAN000232,680.0,0.233,0.661,0,0,Current,0,Low,4408.83
LOAN000233,696.0,0.802,,0,0,Current,0,MEDIUM,34465.1
LOAN000234,718.0,0.389,0.67,0,0,Current,0,Low,9938.86
LOAN000235,621.0,1.138,,4,148,Defaulted,1,High,293002.49
LOAN000236,699.0,0.441,,0,0,Current,0,Low,7630.31
LOAN000237,,,0.639,0,0,Current,0,Low,4075.78
LOAN000238,711.0,0.361,0.553,0,0,Current,0,Low,6449.52
LOAN000239,691.0,0.882,0.815,3,180,Defaulted,1,High,285712.62
LOAN000240,690.0,0.726,0.656,3,63,Late,0,Medium,152575.41
LOAN000241,673.0,0.61,0.509,0,0,Current,0,Low,90561.1
LOAN000242,697.0,0.399,0.731,7,128,Defaulted,1,Medium,6767.05
LOAN000243,606.0,0.823,0.557,3,72,Current,0,High,313687.91
LOAN000244,621.0,0.784,0.664,1,11,Current,0,Medium,548950.82
LOAN000245,678.0,0.418,0.871,0,0,Current,0,Low,6446.35
LOAN000246,674.0,0.822,0.7,7,154,Current,0,High,59005.74
LOAN000247,684.0,0.74,0.881,5,85,Late,0,High,70639.09
LOAN000248,709.0,0.421,0.819,0,0,Current,0,Low,25877.91
LOAN000249,661.0,0.882,0.634,1,14,Current,0,Medium,134899.14
LOAN000250,697.0,0.204,0.707,0,0,Paid Off,0,Low,18104.25
LOAN000251,,0.44,,0,0,Current,0,Low,12324.3
LOAN000252,643.0,0.668,,7,119,Late,0,High,588926.57
LOAN000253,646.0,1.154,0.774,5,180,Written Off,1,High,1072262.41
LOAN000254,614.0,0.7,0.643,7,98,Late,0, High ,331681.37
LOAN000255,623.0,1.127,0.534,3,119,Defaulted,1,High,320576.22
LOAN000256,678.0,0.631,0.506,1,16,Current,0,Medium,54033.49
LOAN000257,654.0,0.616,0.858,0,0,Current,0,Medium,10421.69
LOAN000258,659.0,0.249,0.548,0,0,Current,0,Low,778.88
LOAN000259,666.0,0.551,0.846,0,0,Current,0,Medium,37474.99
LOAN000260,708.0,0.514,0.555,0,0,Paid Off,0,Low,46810.86
LOAN000261,716.0,0.973,0.744,4,36,Current,0,Medium,73200.2
LOAN000262,709.0,0.244,,0,0,paid off,0,Low,18465.04
LOAN000263,633.0,1.173,,9,180,Defaulted,1,High,935510.48
LOAN000264,719.0,0.336,0.908,1,15,Current,0,Low,3864.36
LOAN000265,764.0,0.384,0.58,1,11,Current,0,Low,65171.99
LOAN000266,689.0,0.198,0.7,0,0,Current,0,Low,1335.46
LOAN000267,661.0,0.574,,0,0,Current,0,Low,14937.85
LOAN000268,685.0,0.598,,0,0,Current,0,Low,8598.25
LOAN000269,647.0,0.493,0.867,4,88,Late,0,Medium,158236.72
LOAN000270,641.0,0.496,0.671,5,60,Current,0,Medium,16957.5
LOAN000271,607.0,1.188,0.617,7,180,Defaulted,1,High,1487523.68
LOAN000272,654.0,0.653,0.759,0,0,Current,0,Medium,50281.75
LOAN000273,637.0,0.806,0.704,2,16,Current,0,Medium,339712.87
LOAN000274,,0.968,0.553,0,0,Current,0,Medium,39302.29
LOAN000275,672.0,0.458,0.595,0,0,Current,0,Low,8953.27
LOAN000276,704.0,0.511,,0,0,Current,0,Low,127995.02
LOAN000277,671.0,0.244,0.559,0,0,Paid Off,0,Low,1143.3
LOAN000278,610.0,0.804,0.728,1,9,Current,0,Medium,210925.18
LOAN000279,669.0,0.535,,0,0,Current,0,Low,10518.3
LOAN000280,654.0,0.297,0.864,1,15,Current,0,Low,1835.58
LOAN000281,718.0,0.467,,0,0,Current,0,Low,8668.51
LOAN000282,619.0,0.892,0.897,4,108,Defaulted,1,High,570051.38
LOAN000283,705.0,0.389,0.751,0,0,Current,0,Low,9174.63
LOAN000284,633.0,,0.771,5,125,Late,0,High,551597.77
LOAN000285,,0.679,0.697,5,120,Late,0,High,59749.41
LOAN000286,657.0,0.15,0.737,0,0,Current,0,Low,1450.39
LOAN000287,666.0,0.492,0.581,0,0,Current,0,Low,31546.12
LOAN000288,690.0,0.235,0.787,3,57,Current,0,Medium,6494.36
LOAN000289,737.0,0.305,0.746,0,0,Current,0,Low,1847.55
LOAN000290,679.0,0.623,0.535,1,20,Current,0,Medium,97585.09
LOAN000291,639.0,0.46,0.683,3,109,Defaulted,1,Medium,9169.84
LOAN000292,714.0,0.741,0.525,0,0,Current,0,Low,64680.67
LOAN000293,636.0,1.118,0.525,3,98,Defaulted,1,High,641090.29
LOAN000294,722.0,0.393,,0,0,Current,0,Low,8430.24
LOAN000295,688.0,0.286,0.521,0,0,Paid Off,0,Low,4390.64
LOAN000296,685.0,0.896,0.599,2,28,Current,0,Medium,172044.08
LOAN000297,638.0,1.273,0.55,1,10,Current,0,Medium,1912240.9
LOAN000298,641.0,0.428,,3,127,Defaulted,1,Medium,15414.58
LOAN000299,683.0,0.445,0.583,1,21,Current,0,Low,5198.33
LOAN000300,667.0,0.657,0.576,0,0,Current,0,Medium,37649.53
LOAN000301,724.0,0.103,,0,0,Paid Off,0,Low,2125.61
LOAN000302,625.0,0.894,0.673,3,60,Current,0,High,148954.07
LOAN000303,620.0,0.516,0.702,0,0,Paid Off,0,Medium,30815.04
LOAN000304,689.0,0.587,0.608,1,17,Paid Off,0,Medium,184896.56
LOAN000305,644.0,0.643,,2,28,Current,0,Medium,59606.4
LOAN000306,660.0,0.413,0.801,1,19,Current,0,Medium,38965.01
LOAN000307,572.0,1.053,0.618,7,152,Written Off,1,High,468994.57
LOAN000308,703.0,0.435,,0,0,Current,0,Low,7518.65
LOAN000309,694.0,0.301,0.909,0,0,Current,0,Low,16010.57
LOAN000310,691.0,0.593,0.757,7,180,Written Off,1,High,23356.39
LOAN000311,676.0,0.578,0.746,0,0,Current,0,Low,62421.52
LOAN000312,702.0,0.433,0.594,0,0,Current,0,Low,1308.09
LOAN000313,639.0,0.573,,2,20,Current,0,Medium,8012.16
LOAN000314,707.0,0.263,0.647,0,0,Current,0,Low,3717.64
LOAN000315,632.0,1.288,0.663,9,180,Defaulted,1,High,701315.0
LOAN000316,776.0,0.221,0.5,0,0,Paid Off,0,Low,2431.33
LOAN000317,668.0,0.814,0.609,1,8,Paid Off,0,Medium,166368.64
LOAN000318,763.0,0.294,0.707,0,0,Paid Off,0,Low,3910.36
LOAN000319,717.0,0.782,0.548,2,46,Current,0,Medium,190313.28
LOAN000320,664.0,0.851,,1,14,Current,0,Medium,46737.21
LOAN000321,592.0,0.96,0.519,6,108,late,0,High,314072.25
LOAN000322,626.0,0.373,0.694,6,90,Late,0,High,17455.83
LOAN000323,669.0,0.48,0.621,0,0,Paid Off,0,Low,32911.65
LOAN000324,588.0,0.799,0.505,5,110,Restructured,0,High,471477.71
LOAN000325,595.0,0.597,0.577,1,8,Current,0,Medium,172766.81
LOAN000326,720.0,0.15,0.567,0,0,Current,0,Low,5415.59
LOAN000327,723.0,0.788,0.546,5,115,Restructured,0,Medium,65231.98
LOAN000328,715.0,0.429,0.928,0,0,Current,0,Low,58480.76
LOAN000329,633.0,0.899,0.761,3,30,Current,0,Medium,71249.23
LOAN000330,670.0,0.39,,8,180,Defaulted,1,High,5473.48
LOAN000331,691.0,0.384,,0,0,Current,0,Low,7066.95
LOAN000332,647.0,0.7,0.542,1,11,Current,0,Medium,948243.75
LOAN000333,679.0,0.653,0.773,0,0,Current,0,Medium,78327.48
LOAN000334,657.0,0.932,0.74,0,0,Current,0,Medium,187279.08
LOAN000335,630.0,0.602,0.71,3,24,Current,0,Medium,24648.84
LOAN000336,620.0,0.843,0.711,3,111,Defaulted,1,HIGH,175084.74
LOAN000337,594.0,1.053,0.672,3,60,Current,0,High,1625032.18
LOAN000338,701.0,0.48,0.709,1,19,Current,0,Low,2611.87
LOAN000339,641.0,0.356,,3,75,Restructured,0,Medium,25757.36
LOAN000340,646.0,0.749,0.854,6,110,Defaulted,1,High,226869.56
LOAN000341,629.0,0.78,,3,33,Current,0,Medium,54440.03
LOAN000342,630.0,0.98,0.856,7,133,Restructured,0,High,195634.41
LOAN000343,775.0,0.51,0.618,0,0,Current,0,Low,43080.88
LOAN000344,644.0,0.399,0.656,3,116,Written Off,1,Medium,8223.73
LOAN000345,732.0,0.376,,0,0,Current,0,Low,24958.87
LOAN000346,651.0,1.011,0.747,2,18,Current,0,Medium,184537.79
LOAN000347,623.0,0.801,,7,180,Defaulted,1,High,1079910.11
LOAN000348,714.0,0.186,0.892,0,0,Current,0,Low,2953.59
LOAN000349,712.0,0.618,0.591,0,0,Paid Off,0,Low,69074.34
LOAN000350,659.0,0.712,,0,0,current,0,Medium,15232.67
LOAN000351,760.0,0.158,,0,0, CURRENT ,0,Low,2292.48
LOAN000352,673.0,0.325,0.802,1,22,Current,0,Low,10470.43
LOAN000353,632.0,0.66,0.661,5,45,Current,0,High,107211.21
LOAN000354,685.0,1.02,,8,180,Defaulted,1,High,832352.18
LOAN000355,677.0,0.522,0.711,0,0,Current,0,Low,31027.55
LOAN000356,698.0,0.765,0.806,1,23,Current,0,Medium,105355.5
LOAN000357,633.0,1.092,0.578,4,44,Current,0,High,1257841.56
LOAN000358,642.0,0.482,,3,30,Current,0,Medium,30096.16
LOAN000359,668.0,0.599,0.511,0,0,Current,0,Low,126863.0
LOAN000360,681.0,0.46,0.552,0,0,Paid Off,0,Low,20544.88
LOAN000361,722.0,0.93,0.524,2,34,Current,0,Medium,222907.79
LOAN000362,739.0,0.219,,1,11,Paid Off,0,Low,5795.18
LOAN000363,670.0,0.592,0.789,0,0,Current,0,Medium,121751.5
LOAN000364,640.0,0.931,0.891,4,145,Defaulted,1,High,570644.67
LOAN000365,650.0,0.97,0.761,2,20,Current,0,Medium,87433.81
LOAN000366,668.0,0.824,,2,22,Current,0,Medium,20819.71
LOAN000367,634.0,0.364,0.807,6,60,Current,0,Medium,10520.96
LOAN000368,716.0,0.369,0.824,1,25,Current,0,Low,1991.44
LOAN000369,671.0,0.546,0.732,0,0,Current,0,Low,149826.66
LOAN000370,730.0,0.075,0.607,1,25,Current,0,Low,1865.63
LOAN000371,620.0,0.636,,4,120,Defaulted,1,High,33229.57
LOAN000372,593.0,0.736,0.512,3,60,Current,0,Medium,547423.06
LOAN000373,593.0,0.875,0.511,1,15,Current,0,Medium,115772.0
LOAN000374,665.0,0.366,0.564,0,0,Paid Off,0,Low,6510.03
LOAN000375,653.0,0.503,0.519,0,0,Current,0,Low,7891.45
LOAN000376,630.0,0.69,0.722,0,0,Current,0,Medium,339371.64
LOAN000377,655.0,0.536,0.556,0,0,Current,0,Low,1719.18
LOAN000378,679.0,0.355,,0,0,Current,0,Low,6604.81
LOAN000379,638.0,0.526,0.817,3,72,Restructured,0,Medium,65788.63
LOAN000380,800.0,0.33,0.61,1,9,Current,0,Low,3398.71
LOAN000381,639.0,0.4,0.596,2,24,Current,0,Medium,32864.88
LOAN000382,,0.338,,0,0,Current,0,Low,5467.63
LOAN000383,745.0,0.223,0.641,0,0,Current,0,Low,2443.45
LOAN000384,607.0,0.181,0.681,5,95,Restructured,0,Medium,9379.41
