loan_id,customer_id,loan_type,loan_amount,loan_term_months,interest_rate,loan_start_date,collateral_type,collateral_value,monthly_loan_payment,loan_purpose
LOAN000024,CUST10123,Home Loan,1438378.27,233,9.22,2018-11-03,Property,2057745.17,13284.22,Home Purchase
LOAN000025,CUST07116,Education Loan,471793.6,82,10.82,2025-09-10,Unsecured,0.0,8165.09,Higher Education
LOAN000026,CUST13607,Education Loan,213764.73,64,9.3,2022-09-03,Unsecured,0.0,4249.27,Higher Education
LOAN000027,CUST12356,Auto Loan,531115.08,60,9.89,2022-11-10,Vehicle,716095.96,11255.9,Vehicle Purchase
LOAN000028,CUST01650,Home Loan,4598013.53,238,10.3,2020-04-11,Property,6194913.26,45405.09,Home Purchase
LOAN000029,CUST05826,Personal Loan,174835.99,36,15.1,2019-03-09,Unsecured,0.0,6069.31,Personal Expense
LOAN000030,CUST05207,Auto Loan,3649923.5,60,9.68,2021-03-15,Vehicle,5308816.2,76976.65,Vehicle Purchase
LOAN000031,CUST08353,Personal Loan,111022.0,25,13.8,2022-08-10,Unsecured,0.0,5135.12,Personal Expense
LOAN000032,CUST14150,Business Loan,1375244.87,72,12.75,2018-01-16,Business Asset,1837896.88,27425.68,Business Expansion
LOAN000033,CUST13210,Home Loan,4493347.97,245,8.11,2024-11-23,Property,8137036.47,37583.94,Home Purchase
LOAN000034,CUST07436,Auto Loan,573085.7,60,9.06,2022-06-21,Vehicle,786259.41,11913.01,Vehicle Purchase
LOAN000035,CUST04884,Personal Loan,105661.07,31,13.99,2023-01-05,Unsecured,0.0,4080.97,Personal Expense
LOAN000036,CUST14298,Auto Loan,376639.05,71,10.8,2021-06-05,Vehicle,643181.13,7201.98,Vehicle Purchase
LOAN000037,CUST11777,Home Loan,7395504.66,242,9.54,2025-04-21,Property,11625344.72,68938.69,Home Purchase
LOAN000038,CUST08158,Personal Loan,182014.03,35,15.13,2021-04-25,Unsecured,0.0,6464.16,Personal Expense
LOAN000039,CUST10249,Personal Loan,245248.74,48,14.58,2024-06-01,Unsecured,0.0,6773.36,Personal Expense
LOAN000040,CUST05984,Home Loan,1179342.25,246,8.95,2018-06-21,Property,2351834.51,10480.63,Home Purchase
LOAN000041,CUST01655,Business Loan,1663129.02,87,10.05,2019-01-09,Business Asset,2044160.01,26995.63,Business Expansion
LOAN000042,CUST14231,Home Loan,1635713.88,240,10.36,2020-07-17,Property,2706916.41,16177.1,Home Purchase
LOAN000043,CUST01856,Home Loan,6226560.74,250,9.21,2021-06-23,Property,9672900.23,56081.62,Home Purchase
LOAN000044,CUST10320,Personal Loan,156344.44,39,11.2,2018-01-17,Unsecured,0.0,4801.08,Personal Expense
LOAN000045,CUST06023,Business Loan,1105971.64,75,10.2,2018-01-03,Business Asset,1773180.16,20003.25,Business Expansion
LOAN000046,CUST12645,Personal Loan,1180340.02,33,14.67,2021-10-20,Unsecured,0.0,43681.77,Personal Expense
LOAN000047,CUST02186,Home Loan,3542940.63,251,6.5,2023-09-15,Property,4313980.66,25853.73,Home Purchase
LOAN000048,CUST02888,Personal Loan,256725.06,33,15.14,2018-06-07,Unsecured,0.0,9559.39,Personal Expense
LOAN000049,CUST14375,Home Loan,2717255.69,250,8.84,2024-09-11,Property,4197582.36,23819.32,Home Purchase
LOAN000050,CUST10105,Home Loan,2255450.35,243,6.6,2019-04-28,Property,4072628.48,16848.36,Home Purchase
LOAN000051,CUST13383,Home Loan,2570019.01,249,7.95,2024-09-24,Property,2908442.17,21102.8,Home Purchase
LOAN000052,CUST08141,Auto Loan,472776.79,48,11.71,2019-09-16,Vehicle,897361.19,12382.82,Vehicle Purchase
LOAN000053,CUST00345,Business Loan,3347341.7,73,11.6,2018-04-01,Business Asset,3527560.88,64132.37,Business Expansion
LOAN000054,CUST08899,Personal Loan,466688.2,40,13.82,2024-01-08,Unsecured,0.0,14626.04,Personal Expense
LOAN000055,CUST02822,Auto Loan,297579.38,61,9.31,2019-04-05,Vehicle,322342.6,6141.98,Vehicle Purchase
LOAN000056,CUST09186,Auto Loan,923523.07,54,9.48,2021-05-08,Vehicle,1827222.16,21075.23,Vehicle Purchase
LOAN000057,CUST07573,Auto Loan,407785.4,61,9.58,2021-03-12,Vehicle,653103.01,8470.48,Vehicle Purchase
LOAN000058,CUST14797,Home Loan,6247751.46,246,6.54,2021-01-25,Property,9757188.86,46177.13,Home Purchase
LOAN000059,CUST07566,Business Loan,1674736.75,74,11.86,2022-09-29,Unsecured,0.0,32014.32,Business Expansion
LOAN000060,CUST14509,Business Loan,7451882.55,95,16.04,2024-02-12,Unsecured,0.0,138970.33,Business Expansion
LOAN000061,CUST09021,Home Loan,2142161.91,242,11.7,2024-12-21,Property,3852789.37,23092.66,Home Purchase
LOAN000062,CUST11189,Education Loan,336698.1,70,11.36,2024-01-03,Unsecured,0.0,6600.34,Higher Education
LOAN000063,CUST01091,Personal Loan,215755.95,39,12.01,2024-07-02,Unsecured,0.0,6709.23,Personal Expense
LOAN000064,CUST01024,Business Loan,4676324.51,92,11.84,2022-09-20,Business Asset,8804805.63,77576.61,Business Expansion
LOAN000065,CUST04250,Business Loan,2383078.07,93,13.03,2020-10-28,Property,3576506.24,40831.74,Business Expansion
LOAN000066,CUST01737,Home Loan,6455245.34,228,9.19,2019-01-28,Property,10697675.02,59967.81,Home Purchase
LOAN000067,CUST03815,Personal Loan,200012.94,25,14.55,2018-03-01,Unsecured,0.0,9322.3,Personal Expense
LOAN000068,CUST07092,Home Loan,5483306.12,247,8.72,2022-05-23,Property,6170692.9,47846.85,Home Purchase
LOAN000069,CUST00573,Home Loan,4249396.71,242,9.42,2024-10-05,Property,4852081.63,39278.04,Home Purchase
LOAN000070,CUST12180,Home Loan,1944255.45,246,8.6,2022-11-24,Property,2122434.21,15510.44,Home Purchase
LOAN000071,CUST07715,Auto Loan,335829.25,67,9.44,2020-11-20,Vehicle,376890.55,6468.05,Vehicle Purchase
LOAN000072,CUST11711,Home Loan,2564012.54,246,6.56,2023-02-21,Property,3265706.13,18981.06,Home Purchase
LOAN000073,CUST12860,Business Loan,2085270.13,82,12.83,2021-09-24,Property,4048373.96,38313.38,Business Expansion
LOAN000074,CUST03491,Personal Loan,214399.69,31,15.93,2023-12-15,Unsecured,0.0,8481.7,Personal Expense
LOAN000075,CUST04449,Home Loan,1619491.06,231,9.31,2023-02-07,Property,2002574.72,15097.15,Home Purchase
LOAN000076,CUST01586,Home Loan,7616055.54,240,7.88,2019-07-05,Property,8958174.56,63136.13,Home Purchase
LOAN000077,CUST07912,Business Loan,1708227.58,85,12.07,2019-04-12,Unsecured,0.0,29992.25,Business Expansion
LOAN000078,CUST12154,Home Loan,4580793.3,251,7.21,2020-08-22,Property,6760862.52,35391.67,Home Purchase
LOAN000079,CUST03271,Auto Loan,242271.52,53,10.01,2020-10-27,Vehicle,311180.44,5674.58,Vehicle Purchase
LOAN000080,CUST06524,Home Loan,1509077.81,239,9.21,2022-06-09,Property,1775256.88,13802.16,Home Purchase
LOAN000081,CUST12128,Home Loan,5199393.59,244,9.32,2020-05-30,Property,9398383.07,47587.28,Home Purchase
LOAN000082,CUST02755,Business Loan,2141981.94,72,13.25,2025-04-16,Business Asset,4238703.11,43281.51,Business Expansion
LOAN000083,CUST07492,Home Loan,4866185.7,249,6.88,2024-12-19,Property,7677710.18,36751.6,Home Purchase
LOAN000084,CUST03876,Education Loan,614859.13,84,11.59,2018-08-30,Unsecured,0.0,10719.59,Higher Education
LOAN000085,CUST07458,Personal Loan,409470.47,37,13.69,2019-03-06,Unsecured,0.0,13628.38,Personal Expense
LOAN000086,CUST11522,Home Loan,2487023.4,245,11.26,2022-12-26,Property,3437871.93,25971.34,Home Purchase
LOAN000087,CUST01722,Home Loan,2431451.5,233,9.86,2023-12-14,Property,3128581.85,23464.71,Home Purchase
LOAN000088,CUST06503,Auto Loan,745557.25,72,9.41,2018-11-14,Vehicle,1162582.66,13591.28,Vehicle Purchase
LOAN000089,CUST08638,Auto Loan,584209.12,64,10.48,2023-03-13,Vehicle,700755.16,11954.52,Vehicle Purchase
LOAN000090,CUST01083,Auto Loan,639737.46,55,12.92,2022-05-18,Vehicle,827096.25,15474.16,Vehicle Purchase
LOAN000091,CUST13356,Home Loan,4148392.22,240,9.3,2025-03-02,Property,5423893.53,38128.28,Home Purchase
LOAN000092,CUST12536,Home Loan,4130728.46,237,9.6,2024-04-20,Property,7802013.38,38937.23,Home Purchase
LOAN000093,CUST07981,Home Loan,3376706.34,230,10.38,2024-11-29,Property,4315631.74,33882.18,Home Purchase
LOAN000094,CUST04580,Home Loan,1947157.61,252,7.74,2025-04-19,Property,2189306.22,15657.13,Home Purchase
LOAN000095,CUST07251,Business Loan,4185663.51,77,11.9,2021-07-27,Business Asset,8100737.57,77985.54,Business Expansion
LOAN000096,CUST01820,Home Loan,4010760.73,246,8.97,2020-12-21,Property,6686951.22,35694.87,Home Purchase
LOAN000097,CUST02392,Home Loan,2210429.7,240,8.88,2018-10-20,Property,2723759.19,19717.54,Home Purchase
LOAN000098,CUST00832,Business Loan,1774713.54,80,12.53,2019-08-21,Unsecured,0.0,32833.76,Business Expansion
LOAN000099,CUST06917,Education Loan,655349.05,72,11.97,2019-08-17,Unsecured,0.0,12801.98,Higher Education
LOAN000100,CUST08441,Business Loan,2387031.37,89,12.31,2025-08-05,Unsecured,0.0,41029.94,Business Expansion
LOAN000101,CUST04549,Personal Loan,452104.58,32,12.89,2018-03-20,Unsecured,0.0,16770.29,Personal Expense
LOAN000102,CUST14347,Education Loan,312166.3,73,12.27,2020-03-23,Unsecured,0.0,6089.77,Higher Education
LOAN000103,CUST02863,Home Loan,4945403.0,231,8.85,2025-02-08,Property,7925060.94,44650.76,Home Purchase
LOAN000104,CUST03249,Business Loan,3609105.01,91,11.78,2024-02-02,Property,4850098.82,60160.21,Business Expansion
LOAN000105,CUST06870,Business Loan,2915634.77,82,11.93,2021-05-14,Property,5544096.92,52164.4,Business Expansion
LOAN000106,CUST01948,Home Loan,3230803.94,231,7.29,2020-02-24,Property,3740240.4,26059.16,Home Purchase
LOAN000107,CUST08409,Business Loan,1209184.85,79,10.75,2018-10-14,Business Asset,1969604.85,21421.53,Business Expansion
LOAN000108,CUST00145,Education Loan,420592.51,69,8.83,2021-11-02,Fixed Deposit,541633.37,7795.29,Higher Education
LOAN000109,CUST08064,Business Loan,737973.75,88,12.61,2022-07-31,Business Asset,875209.36,12893.75,Business Expansion
LOAN000110,CUST01002,Personal Loan,122832.13,46,15.83,2018-03-23,Unsecured,0.0,3578.93,Personal Expense
LOAN000111,CUST06068,Auto Loan,206044.58,64,10.13,2022-02-21,Vehicle,366683.49,4180.3,Vehicle Purchase
LOAN000112,CUST04045,Education Loan,376534.22,77,11.35,2019-06-19,Unsecured,0.0,6907.11,Higher Education
LOAN000113,CUST12601,Personal Loan,241192.89,41,13.53,2025-08-10,Unsecured,0.0,7379.39,Personal Expense
LOAN000114,CUST09360,Personal Loan,139806.22,27,14.02,2022-12-05,Unsecured,0.0,6067.52,Personal Expense
LOAN000115,CUST14799,Business Loan,3663484.19,72,10.64,2022-03-09,Unsecured,0.0,69057.42,Business Expansion
LOAN000116,CUST03026,Personal Loan,197288.41,30,14.98,2022-04-08,Unsecured,0.0,7924.86,Personal Expense
LOAN000117,CUST08686,Home Loan,2635662.77,234,10.56,2023-10-01,Property,2938287.9,26620.11,Home Purchase
LOAN000118,CUST07133,Personal Loan,327142.02,26,14.94,2018-06-01,Unsecured,0.0,14806.01,Personal Expense
LOAN000119,CUST02124,Home Loan,1624061.14,235,8.54,2021-01-28,Property,2409656.64,14249.81,Home Purchase
LOAN000120,CUST03346,Home Loan,3772079.12,237,6.5,2023-12-19,Property,6081190.36,28297.65,Home Purchase
LOAN000121,CUST01121,Personal Loan,1075920.37,40,14.83,2019-04-12,Unsecured,0.0,34254.38,Personal Expense
LOAN000122,CUST13152,Business Loan,2210197.24,91,14.18,2024-09-26,Business Asset,3769952.93,39773.17,Business Expansion
LOAN000123,CUST09268,Home Loan,1921070.91,249,8.72,2020-02-10,Property,3785795.77,16714.84,Home Purchase
LOAN000124,CUST08738,Personal Loan,216905.11,46,14.65,2020-04-29,Unsecured,0.0,6190.62,Personal Expense
LOAN000125,CUST12935,Home Loan,4702568.42,249,9.47,2019-09-09,Property,6671651.78,43214.63,Home Purchase
LOAN000126,CUST03104,Home Loan,1859366.05,248,7.64,2025-09-03,Property,2243566.24,14932.4,Home Purchase
LOAN000127,CUST11750,Business Loan,6237502.92,82,12.26,2022-08-21,Unsecured,0.0,112694.27,Business Expansion
LOAN000128,CUST09164,Home Loan,3667439.34,239,9.61,2022-11-30,Property,5727916.91,34496.99,Home Purchase
LOAN000129,CUST05967,Business Loan,1587313.63,92,12.43,2023-11-04,Business Asset,2593020.67,26843.52,Business Expansion
LOAN000130,CUST08295,Home Loan,6443695.07,228,10.67,2021-04-13,Property,9221237.15,66074.95,Home Purchase
LOAN000131,CUST07060,Home Loan,1433630.3,238,10.35,2024-05-07,Property,2001052.28,14204.82,Home Purchase
LOAN000132,CUST07501,Home Loan,3276309.89,230,7.72,2020-07-07,Property,6069184.05,27330.74,Home Purchase
LOAN000133,CUST14668,Home Loan,2810386.09,240,9.11,2024-10-04,Property,4430212.83,25484.93,Home Purchase
LOAN000134,CUST13999,Home Loan,654519.06,242,7.83,2025-04-13,Property,826943.63,5387.11,Home Purchase
LOAN000135,CUST14581,Business Loan,4133834.98,86,10.29,2023-12-13,Business Asset,8053998.62,68147.34,Business Expansion
LOAN000136,CUST13411,Home Loan,2001260.69,230,8.22,2023-08-12,Property,3073973.32,17309.29,Home Purchase
LOAN000137,CUST13785,Business Loan,997442.25,74,12.48,2021-04-11,Business Asset,1654083.07,19391.09,Business Expansion
LOAN000138,CUST01337,Home Loan,1158852.02,247,12.05,2024-06-10,Property,1233546.86,12714.5,Home Purchase
LOAN000139,CUST03109,Business Loan,516648.59,76,10.08,2020-12-11,Business Asset,760810.23,9224.83,Business Expansion
LOAN000140,CUST05134,Home Loan,1572641.95,245,9.2,2019-11-01,Property,2325041.81,14250.73,Home Purchase
LOAN000141,CUST14628,Home Loan,3579169.14,228,6.73,2019-06-06,Property,6919852.47,27856.01,Home Purchase
LOAN000142,CUST03591,Personal Loan,806808.07,37,13.1,2020-04-02,Unsecured,0.0,26622.32,Personal Expense
LOAN000143,CUST03273,Home Loan,3240465.39,249,9.45,2020-07-26,Property,5281317.04,29735.81,Home Purchase
LOAN000144,CUST09666,Business Loan,1434908.54,95,13.18,2023-10-26,Unsecured,0.0,24406.18,Business Expansion
LOAN000145,CUST03524,Business Loan,1583812.37,74,13.37,2022-05-23,Business Asset,2652957.03,31537.46,Business Expansion
LOAN000146,CUST08409,Business Loan,2592674.88,86,13.66,2025-12-07,Unsecured,0.0,47432.42,Business Expansion
LOAN000147,CUST04225,Education Loan,80099.41,74,10.76,2022-06-28,Fixed Deposit,116359.66,1485.63,Higher Education
LOAN000148,CUST12817,Home Loan,5497205.54,244,7.32,2019-07-02,Property,8989417.08,43366.61,Home Purchase
LOAN000149,CUST07132,Home Loan,3549611.16,251,9.29,2024-06-25,Property,6434381.47,32114.95,Home Purchase
LOAN000150,CUST13491,Education Loan,245842.1,62,10.96,2025-10-10,Unsecured,0.0,5210.87,Higher Education
LOAN000151,CUST00574,Business Loan,1808304.92,96,11.7,2022-06-09,Property,2829624.04,29092.84,Business Expansion
LOAN000152,CUST06114,Auto Loan,369311.11,52,12.24,2022-06-12,Vehicle,632640.31,9186.68,Vehicle Purchase
LOAN000153,CUST01474,Auto Loan,438829.78,63,10.08,2021-10-21,Vehicle,665048.63,8998.99,Vehicle Purchase
LOAN000154,CUST07109,Education Loan,296973.01,78,11.66,2025-01-23,Unsecured,0.0,5448.28,Higher Education
LOAN000155,CUST01976,Home Loan,2755113.27,231,9.25,2018-01-06,Property,2948210.43,25577.51,Home Purchase
LOAN000156,CUST03838,Home Loan,7145022.15,235,9.12,2025-11-20,Property,10088290.01,65327.1,Home Purchase
LOAN000157,CUST00380,Auto Loan,1354238.23,60,9.57,2020-03-09,Vehicle,1556861.97,28487.87,Vehicle Purchase
LOAN000158,CUST07374,Business Loan,4379741.07,74,11.46,2021-01-18,Business Asset,5458966.33,82812.69,Business Expansion
LOAN000159,CUST04967,Auto Loan,384304.17,50,7.75,2018-12-18,Vehicle,574434.99,9018.32,Vehicle Purchase
LOAN000160,CUST01746,Business Loan,2096881.22,84,12.08,2018-12-11,Business Asset,3654883.83,37105.45,Business Expansion
LOAN000161,CUST01936,Auto Loan,246650.23,65,8.41,2021-03-05,Vehicle,357056.69,4737.37,Vehicle Purchase
LOAN000162,CUST04886,Business Loan,2144931.22,76,12.37,2019-04-20,Business Asset,2847452.05,40845.12,Business Expansion
LOAN000163,CUST06730,Auto Loan,478849.41,50,8.87,2020-01-21,Vehicle,891723.17,11490.45,Vehicle Purchase
LOAN000164,CUST01968,Home Loan,7079082.38,250,8.48,2021-12-07,Property,8329131.06,60414.87,Home Purchase
LOAN000165,CUST12429,Personal Loan,200845.09,45,13.43,2020-01-31,Unsecured,0.0,5705.47,Personal Expense
LOAN000166,CUST13416,Home Loan,3051631.54,247,9.49,2022-12-27,Property,3807468.79,28156.64,Home Purchase
LOAN000167,CUST12034,Auto Loan,494510.51,53,10.7,2020-09-17,Vehicle,606933.58,11748.86,Vehicle Purchase
LOAN000168,CUST03498,Business Loan,1091147.53,85,12.95,2021-01-15,Business Asset,2010551.59,19676.94,Business Expansion
LOAN000169,CUST01049,Business Loan,3584975.24,84,10.96,2023-05-03,Business Asset,4308873.08,61308.14,Business Expansion
LOAN000170,CUST05974,Auto Loan,764956.35,55,12.18,2018-11-12,Vehicle,1352277.24,18218.46,Vehicle Purchase
LOAN000171,CUST10518,Auto Loan,650042.2,57,10.46,2023-12-14,Vehicle,814354.47,14519.62,Vehicle Purchase
LOAN000172,CUST06619,Personal Loan,290423.17,37,14.68,2018-02-02,Unsecured,0.0,9806.36,Personal Expense
LOAN000173,CUST04939,Home Loan,2045367.87,240,8.31,2024-01-17,Property,2283249.03,17504.98,Home Purchase
LOAN000174,CUST01327,Auto Loan,507301.97,57,9.11,2022-09-11,Vehicle,918014.63,10997.34,Vehicle Purchase
LOAN000175,CUST09573,Home Loan,3594943.23,237,9.12,2020-12-08,Property,5902046.06,32768.67,Home Purchase
LOAN000176,CUST04700,Home Loan,3138530.88,245,9.71,2023-08-12,Property,5710223.91,29490.17,Home Purchase
LOAN000177,CUST14423,Home Loan,1914002.47,247,6.94,2021-02-25,Property,3531682.07,14577.55,Home Purchase
LOAN000178,CUST05892,Home Loan,1629723.53,250,7.59,2020-10-11,Property,3135794.31,12994.56,Home Purchase
LOAN000179,CUST07430,Personal Loan,169562.72,45,15.87,2025-12-01,Unsecured,0.0,5024.0,Personal Expense
LOAN000180,CUST02284,Business Loan,4037032.87,89,11.68,2021-07-04,Property,5398513.13,68015.71,Business Expansion
LOAN000181,CUST14735,Auto Loan,900921.62,59,8.65,2024-12-18,Vehicle,1637024.42,18800.55,Vehicle Purchase
LOAN000182,CUST04354,Auto Loan,640801.41,60,11.3,2023-02-18,Vehicle,1153695.51,14028.64,Vehicle Purchase
LOAN000183,CUST09294,Education Loan,220832.81,75,11.56,2024-02-19,Unsecured,0.0,4148.66,Higher Education
LOAN000184,CUST06168,Home Loan,2129952.14,247,6.5,2024-02-24,Property,2889203.12,15661.57,Home Purchase
LOAN000185,CUST04276,Education Loan,319076.01,67,10.46,2022-02-24,Fixed Deposit,428962.68,6307.71,Higher Education
LOAN000186,CUST04044,Auto Loan,150274.8,50,11.04,2018-05-10,Vehicle,264565.26,3763.14,Vehicle Purchase
LOAN000187,CUST09834,Home Loan,5379178.84,238,8.33,2019-08-20,Property,9022494.96,46255.86,Home Purchase
LOAN000188,CUST01527,Auto Loan,522847.31,55,10.59,2024-04-13,Vehicle,556872.87,12040.36,Vehicle Purchase
LOAN000189,CUST07057,Personal Loan,641597.43,34,14.67,2021-07-10,Unsecured,0.0,23176.66,Personal Expense
LOAN000190,CUST06400,Business Loan,1980562.33,91,14.32,2021-07-31,Property,2366237.78,35797.35,Business Expansion
LOAN000191,CUST13624,Education Loan,201707.46,82,11.37,2021-04-18,Unsecured,0.0,3549.02,Higher Education
LOAN000192,CUST03896,Home Loan,2551107.37,244,7.66,2020-01-21,Property,3454161.54,20657.84,Home Purchase
LOAN000193,CUST13951,Business Loan,2031298.73,80,9.99,2019-08-05,Business Asset,3899989.66,34879.93,Business Expansion
LOAN000194,CUST00386,Personal Loan,92196.18,25,16.02,2025-11-25,Unsecured,0.0,4361.76,Personal Expense
LOAN000195,CUST05079,Auto Loan,279062.4,55,9.59,2024-07-03,Vehicle,326133.18,6290.3,Vehicle Purchase
LOAN000196,CUST00601,Home Loan,837831.36,250,8.51,2024-01-22,Property,1515903.45,7166.37,Home Purchase
LOAN000197,CUST03177,Business Loan,2614691.42,96,11.86,2022-06-12,Business Asset,4782284.84,42295.29,Business Expansion
LOAN000198,CUST13622,Business Loan,1567741.15,82,14.68,2019-06-13,Property,2194201.29,30392.56,Business Expansion
LOAN000199,CUST05128,Personal Loan,152904.55,36,15.08,2018-04-06,Unsecured,0.0,5306.48,Personal Expense
LOAN000200,CUST03978,Home Loan,1119287.45,252,6.62,2025-06-17,Property,2112925.81,8232.75,Home Purchase
LOAN000201,CUST10160,Home Loan,1145490.52,232,9.42,2019-03-17,Property,1775622.99,10743.07,Home Purchase
LOAN000202,CUST01043,Home Loan,5129932.14,235,7.89,2023-05-24,Property,7041272.6,42932.63,Home Purchase
LOAN000203,CUST05863,Business Loan,5225930.03,76,10.68,2018-03-02,Business Asset,9344985.43,94913.71,Business Expansion
LOAN000204,CUST13794,Auto Loan,368088.68,67,10.7,2018-08-05,Vehicle,496310.82,7321.1,Vehicle Purchase
LOAN000205,CUST06571,Home Loan,5295487.28,239,6.71,2020-01-15,Property,9467891.19,40219.11,Home Purchase
LOAN000206,CUST09272,Personal Loan,215993.25,24,12.53,2025-03-05,Unsecured,0.0,10221.09,Personal Expense
LOAN000207,CUST00968,Auto Loan,488731.48,61,9.62,2021-02-01,Vehicle,974668.35,10161.46,Vehicle Purchase
LOAN000208,CUST02766,Personal Loan,178932.96,38,15.97,2025-05-31,Unsecured,0.0,6029.95,Personal Expense
LOAN000209,CUST08446,Education Loan,267201.99,78,9.9,2025-04-02,Unsecured,0.0,4658.92,Higher Education
LOAN000210,CUST01501,Home Loan,5423366.02,237,6.5,2025-04-25,Property,8905789.76,40685.39,Home Purchase
LOAN000211,CUST04643,Home Loan,1691472.33,238,7.45,2025-08-06,Property,2555175.66,13624.39,Home Purchase
LOAN000212,CUST01188,Business Loan,957607.36,74,11.9,2024-03-19,Unsecured,0.0,18325.63,Business Expansion
LOAN000213,CUST11070,Home Loan,4567108.36,240,10.22,2023-10-29,Property,7958134.38,44741.34,Home Purchase
LOAN000214,CUST09275,Home Loan,5475534.55,234,8.48,2022-08-05,Property,7728881.99,47916.56,Home Purchase
LOAN000215,CUST00480,Business Loan,1270725.28,72,13.73,2019-05-30,Property,1990835.76,26000.87,Business Expansion
LOAN000216,CUST01932,Personal Loan,441511.0,45,14.65,2023-11-17,Unsecured,0.0,12810.24,Personal Expense
LOAN000217,CUST14590,Home Loan,1740865.27,250,8.81,2022-06-28,Property,2447464.84,15226.55,Home Purchase
LOAN000218,CUST04918,Home Loan,1581719.99,237,9.66,2025-03-22,Property,1904630.83,14971.66,Home Purchase
LOAN000219,CUST08987,Personal Loan,200050.06,30,14.24,2023-10-16,Unsecured,0.0,7964.65,Personal Expense
LOAN000220,CUST14711,Home Loan,3897457.59,233,9.78,2022-07-05,Property,7637065.98,37408.58,Home Purchase
LOAN000221,CUST12668,Home Loan,4853475.88,230,8.89,2024-12-15,Property,6071584.41,44016.24,Home Purchase
LOAN000222,CUST03589,Business Loan,1812123.84,76,10.61,2025-10-28,Property,2836865.67,32846.75,Business Expansion
LOAN000223,CUST03694,Home Loan,7061041.28,237,9.24,2022-01-20,Property,10090463.97,64908.94,Home Purchase
LOAN000224,CUST12323,Personal Loan,531318.27,34,13.3,2020-02-08,Unsecured,0.0,18841.31,Personal Expense
LOAN000225,CUST08001,Personal Loan,1393195.84,35,14.43,2018-11-01,Unsecured,0.0,49003.42,Personal Expense
LOAN000226,CUST08032,Personal Loan,203219.49,25,14.33,2022-06-30,Unsecured,0.0,9450.54,Personal Expense
LOAN000227,CUST02391,Personal Loan,517858.27,28,15.93,2020-01-13,Unsecured,0.0,22265.77,Personal Expense
LOAN000228,CUST06231,Personal Loan,296206.41,48,14.86,2022-03-31,Unsecured,0.0,8222.64,Personal Expense
LOAN000229,CUST08491,Auto Loan,2310194.4,49,10.73,2019-07-20,Vehicle,4313979.03,58434.29,Vehicle Purchase
